
Report for ../Lab1Assigment1/knapsack-200.txt

Checking for geometric cooling different values
iterations=200, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=3400 => result=132573
iterations=200, T_max=10000, T_min=1, alpha=0.9, neighbours checked=3000 => result=132486
iterations=200, T_max=10000, T_min=1, alpha=0.95, neighbours checked=3000 => result=133250
iterations=200, T_max=10000, T_min=1, alpha=0.99, neighbours checked=3000 => result=133063
iterations=200, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=3400 => result=132254
iterations=200, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=3400 => result=132837
iterations=200, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=3400 => result=132012
iterations=200, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=3800 => result=132345
iterations=200, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=3800 => result=132529
iterations=200, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=3800 => result=132053
iterations=300, T_max=100, T_min=1, alpha=0.9, neighbours checked=3000 => result=130737
iterations=300, T_max=100, T_min=1, alpha=0.95, neighbours checked=3000 => result=131996
iterations=300, T_max=100, T_min=1, alpha=0.99, neighbours checked=3000 => result=131847
iterations=300, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=3900 => result=132113
iterations=300, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=3900 => result=132706
iterations=300, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=3900 => result=131738
iterations=300, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=4500 => result=131638
iterations=300, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=4500 => result=131538
iterations=300, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=4500 => result=132736
iterations=300, T_max=1000, T_min=1, alpha=0.9, neighbours checked=3900 => result=133118
iterations=300, T_max=1000, T_min=1, alpha=0.95, neighbours checked=3900 => result=133215
iterations=300, T_max=1000, T_min=1, alpha=0.99, neighbours checked=3900 => result=132520
iterations=300, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=4500 => result=132506
iterations=300, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=4500 => result=133431
iterations=300, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=4500 => result=132724
iterations=300, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=5100 => result=132503
