
Report for ../Lab1Assigment1/knapsack-20.txt

Checking for logarithmic cooling different values
iterations=5, T_max=100000, T_min=0.01, alpha=0.95, neighbours checked=55 => result=563
iterations=5, T_max=100000, T_min=0.01, alpha=0.99, neighbours checked=55 => result=637
iterations=5, T_max=100000, T_min=0.01, alpha=0.999, neighbours checked=55 => result=552
iterations=5, T_max=100000, T_min=0.001, alpha=0.9, neighbours checked=60 => result=556
iterations=5, T_max=100000, T_min=0.001, alpha=0.95, neighbours checked=60 => result=629
iterations=5, T_max=100000, T_min=0.001, alpha=0.99, neighbours checked=60 => result=620
iterations=5, T_max=100000, T_min=0.001, alpha=0.999, neighbours checked=60 => result=535
iterations=10, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=70 => result=645
iterations=10, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=70 => result=486
iterations=10, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=70 => result=701
iterations=10, T_max=100, T_min=0.1, alpha=0.999, neighbours checked=70 => result=641
iterations=10, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=80 => result=635
iterations=10, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=80 => result=563
iterations=10, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=80 => result=589
iterations=10, T_max=100, T_min=0.01, alpha=0.999, neighbours checked=80 => result=613
iterations=10, T_max=100, T_min=0.001, alpha=0.9, neighbours checked=90 => result=490
iterations=10, T_max=100, T_min=0.001, alpha=0.95, neighbours checked=90 => result=542
iterations=10, T_max=100, T_min=0.001, alpha=0.99, neighbours checked=90 => result=542
iterations=10, T_max=100, T_min=0.001, alpha=0.999, neighbours checked=90 => result=556
iterations=10, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=80 => result=609
iterations=10, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=80 => result=550
iterations=10, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=80 => result=656
iterations=10, T_max=1000, T_min=0.1, alpha=0.999, neighbours checked=80 => result=566
iterations=10, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=90 => result=614
iterations=10, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=90 => result=587
iterations=10, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=90 => result=508
iterations=10, T_max=1000, T_min=0.01, alpha=0.999, neighbours checked=90 => result=629
iterations=10, T_max=1000, T_min=0.001, alpha=0.9, neighbours checked=100 => result=568
iterations=10, T_max=1000, T_min=0.001, alpha=0.95, neighbours checked=100 => result=601
iterations=10, T_max=1000, T_min=0.001, alpha=0.99, neighbours checked=100 => result=512
iterations=10, T_max=1000, T_min=0.001, alpha=0.999, neighbours checked=100 => result=576
iterations=10, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=90 => result=613
iterations=10, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=90 => result=562
iterations=10, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=90 => result=616
iterations=10, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=90 => result=510
iterations=10, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=100 => result=558
iterations=10, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=100 => result=568
iterations=10, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=100 => result=530
iterations=10, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=100 => result=655
iterations=10, T_max=10000, T_min=0.001, alpha=0.9, neighbours checked=110 => result=571
iterations=10, T_max=10000, T_min=0.001, alpha=0.95, neighbours checked=110 => result=508
iterations=10, T_max=10000, T_min=0.001, alpha=0.99, neighbours checked=110 => result=606
iterations=10, T_max=10000, T_min=0.001, alpha=0.999, neighbours checked=110 => result=593
iterations=10, T_max=100000, T_min=0.1, alpha=0.9, neighbours checked=100 => result=657
iterations=10, T_max=100000, T_min=0.1, alpha=0.95, neighbours checked=100 => result=638
iterations=10, T_max=100000, T_min=0.1, alpha=0.99, neighbours checked=100 => result=591
iterations=10, T_max=100000, T_min=0.1, alpha=0.999, neighbours checked=100 => result=616
iterations=10, T_max=100000, T_min=0.01, alpha=0.9, neighbours checked=110 => result=523
iterations=10, T_max=100000, T_min=0.01, alpha=0.95, neighbours checked=110 => result=614
iterations=10, T_max=100000, T_min=0.01, alpha=0.99, neighbours checked=110 => result=540
iterations=10, T_max=100000, T_min=0.01, alpha=0.999, neighbours checked=110 => result=499
iterations=10, T_max=100000, T_min=0.001, alpha=0.9, neighbours checked=120 => result=607
iterations=10, T_max=100000, T_min=0.001, alpha=0.95, neighbours checked=120 => result=493
iterations=10, T_max=100000, T_min=0.001, alpha=0.99, neighbours checked=120 => result=553
iterations=10, T_max=100000, T_min=0.001, alpha=0.999, neighbours checked=120 => result=619
iterations=20, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=140 => result=650
iterations=20, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=140 => result=563
iterations=20, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=140 => result=643
iterations=20, T_max=100, T_min=0.1, alpha=0.999, neighbours checked=140 => result=688
